index,referencia,titulo_anuncio,estado_casa,departamento,ubicacion,nro_habitaciones,nro_baño,m2_terreno,nro_plantas,m2_edificados,nro_garajes,precio_venta,antiguedad
967,VE4292,Valle Sanchez - Polo Country,Excelente estado,Santa Cruz,Valle Sanchez - Polo Country_ Norte_ Santa Cruz,4.0,3,1100.0,1.0,330.0,2.0,265000.0,6.0
968,CCC7F9,CASA EN VENTA,Buen estado,Santa Cruz,Condominio Barrio Norte ( 4to anillo Av. banzer)_ Norte_ Santa Cruz,4.0,3,480.0,1.0,560.0,1.0,560000.0,
969,Y5BFF3,CASA EN VENTA,Buen estado,Santa Cruz,ENTRE AV. SAN MARTÍN Y CANAL ISUTO ENTRE 3ER Y 4TO ANILLO_ Equipetrol_ Santa Cruz,3.0,1,351.0,1.0,331.0,2.0,320000.0,
970,I16499,CASA EN VENTA ZONA EQUIPETROL NORTE,Buen estado,Santa Cruz,ZONA EQUIPETROL NORTE ENTRE SAN MARTIN Y CANAL ISUTO_ Equipetrol_ Santa Cruz,3.0,3,348.0,2.0,331.0,2.0,320000.0,25.0
971,R648BC,VENTA DE CASA EN CONDOMINIO LAS PALMAS 2,Excelente estado,Santa Cruz,Avenida Piraí_ 6to anillo_ zona oeste_ Santa Cruz_ Oeste_ Santa Cruz,3.0,3,258.0,2.0,280.0,1.0,250000.0,
972,FEB73A,Casas en pre-venta de 3 dormitorios Av. Santos Dumont 6to anillo,A estrenar,Santa Cruz,Av. Santos Dumont 6to anillo_ Sur_ Santa Cruz,3.0,3,223.0,2.0,167.0,,93000.0,
973,P10B93,Casas en Preventa condominio Casa de Campo Country Club,A estrenar,Santa Cruz,Carretera Banzer km 10_ Norte_ Santa Cruz,4.0,3,150.0,2.0,234.0,2.0,125000.0,1.0
975,XB575A,"Casa en Venta en Condominio Cerrado Colonial Norte, Zona Avenida Banzer",A estrenar,Santa Cruz,Zona Norte_ Av. Banzer km 8 ½ al norte_ a 1 cuadra del Colegio Cambridge._ Norte_ Santa Cruz,3.0,2,185.0,2.0,125.0,2.0,94800.0,
976,JE9C81,CASA EN VENTA DE 400 METROS SOBRE AVENIDA PACATA ALTA,Buen estado,Cochabamba,Pacata_ Cochabamba,3.0,2,400.0,,120.0,1.0,164000.0,
977,A8D60B,Casa en Venta de lujo en Hacienda de Urubo,A estrenar,Santa Cruz,CONDOMINIO HACIENDA DE URUBO_ Urubó_ Santa Cruz,4.0,3,732.0,2.0,565.0,3.0,850000.0,3.0
978,AB692E,CASA DE 4 DORMITORIOS EN AMPLIO TERRENO,Buen estado,Santa Cruz,avenida beni 6to anillo_ Norte_ Santa Cruz,4.0,3,713.0,1.0,340.0,3.0,269500.0,
979,IB5E64,CASA CON PISCINA EN TERRENO DE 834 M2,Excelente estado,Santa Cruz,AVENIDA BANZER _ Norte_ Santa Cruz,4.0,3,834.0,1.0,337.0,3.0,780000.0,
981,N673BD,"CASA EN VENTA EN ESQUINA ZONA NORTE AL FRENTE DE LA CHONTA ""CASA CLUB NORTE""",Buen estado,Santa Cruz,"FRENTE DE LA CHONTA ""CASA CLUB NORTE""_ Norte_ Santa Cruz",3.0,2,37687.0,1.0,110.0,,95000.0,13.0
982,CD2078,AMPLIA CASA EN VENTA 4 HABITACIONES,Excelente estado,Santa Cruz,Km8 al norte av banzer _ Remanso_ Santa Cruz,4.0,3,311.0,2.0,190.0,2.0,168389.0,8.0
983,X87122,CASA COMO TERRENO EN EL CENTRO,Sin Definir,Santa Cruz,Av. Brazil_ Este_ Santa Cruz,2.0,1,513.0,1.0,80.0,3.0,199000.0,
984,AE9C09,CASA EN VENTA EN EQUIPETROL NORTE,Excelente estado,Santa Cruz,Equipetrol_ Santa Cruz,4.0,3,314.0,2.0,247.0,2.0,345000.0,23.0
985,R4FD80,"URUBO GREEN , CASA EXPLENDOROSA",Excelente estado,Santa Cruz,CONDOMINIO URUBO GREEN_ Urubó_ Santa Cruz,3.0,3,754.0,2.0,524.0,3.0,580000.0,
